month,active_addresses
2022-09-01,51468
2022-08-01,162657
2022-07-01,167234
2022-06-01,159065
2022-05-01,240993
2022-04-01,177433
2022-03-01,232773
2022-02-01,273416
2022-01-01,251046
2021-12-01,257569
2021-11-01,252465
2021-10-01,227522
2021-09-01,210405
2021-08-01,190075
2021-07-01,184411
2021-06-01,183530
2021-05-01,217256
2021-04-01,246853
2021-03-01,174447
2021-02-01,127716
2021-01-01,114176
2020-12-01,126709
2020-11-01,119716
2020-10-01,149481
2020-09-01,80555
2020-08-01,75446
2020-07-01,88664
2020-06-01,50503
2020-05-01,77096
2020-04-01,42838
2020-03-01,50821
2020-02-01,49547
2020-01-01,46709
2019-12-01,44225
2019-11-01,28075
2019-10-01,38741
2019-09-01,28625
2019-08-01,16886
2019-07-01,10794
2019-06-01,9059
2019-05-01,7244
2019-04-01,10004
